Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,Project,Street,Ward,District,Province,Price_per_m2,Is_Project,Area_group,Has_certificate
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",84.0,5.0,13.0,Unknown,Unknown,4.0,6.0,4.0,Have certificate,Unknown,8.6,Dự án The Empire - Vinhomes Ocean Park 2,,Xã Long Hưng,Văn Giang,Hưng Yên,0.1024,1,80-120m²,1
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",60.0,5.0,13.0,Unknown,Unknown,5.0,6.0,4.0,Unknown,Unknown,7.5,Dự án The Crown - Vinhomes Ocean Park 3,,Xã Nghĩa Trụ,Văn Giang,Hưng Yên,0.125,1,50-80m²,0
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",90.0,6.0,13.0,Đông - Bắc,Đông - Bắc,5.0,6.0,4.0,Sale contract,Unknown,8.9,Dự án The Crown - Vinhomes Ocean Park 3,,Xã Nghĩa Trụ,Văn Giang,Hưng Yên,0.0989,1,80-120m²,0
"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",54.0,4.1,3.5,Tây - Nam,Tây - Nam,2.0,2.0,3.0,Have certificate,Full,5.35,,Đường Nguyễn Văn Khối,Phường 11,Gò Vấp,Hồ Chí Minh,0.0991,0,50-80m²,1
"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",92.0,4.1,6.0,Đông - Nam,Đông - Nam,2.0,4.0,4.0,Have certificate,Full,6.9,,Đường Quang Trung,Phường 8,Gò Vấp,Hồ Chí Minh,0.075,0,80-120m²,1
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",91.0,7.0,13.0,Tây - Bắc,Unknown,5.0,6.0,4.0,Have certificate,Unknown,9.8,Dự án The Empire - Vinhomes Ocean Park 2,,Xã Long Hưng,Văn Giang,Hưng Yên,0.1077,1,80-120m²,1
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",64.0,4.0,13.0,Unknown,Unknown,5.0,6.0,4.0,Unknown,Unknown,7.2,Dự án The Empire - Vinhomes Ocean Park 2,,Xã Long Hưng,Văn Giang,Hưng Yên,0.1125,1,50-80m²,0
"Dự án Him Lam Thường Tín, Huyện Thường Tín, Hà Nội",74.0,5.0,18.0,Nam,Nam,5.0,4.0,5.0,Have certificate,Unknown,9.9,Dự án Him Lam Thường Tín,,,Huyện Thường Tín,Hà Nội,0.1338,1,50-80m²,1
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",48.0,5.0,13.0,Unknown,Unknown,5.0,6.0,4.0,Unknown,Basic,5.7,Dự án The Empire - Vinhomes Ocean Park 2,,Xã Long Hưng,Văn Giang,Hưng Yên,0.1188,1,<50m²,0
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",91.0,7.0,13.0,Unknown,Unknown,5.0,6.0,4.0,Have certificate,Unknown,9.5,Dự án The Crown - Vinhomes Ocean Park 3,,Xã Nghĩa Trụ,Văn Giang,Hưng Yên,0.1044,1,80-120m²,1
